https://www.sahibinden.com/volkswagen-golf-1.0-tsi-midline-plus
year,km,color,price,location
2017,87000,Mavi,539900,Ýstanbul Ataþehir,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-caretta-dan-2017-otomatik-87bin-km-de-1.0-tsi-midline-plus-golf-1053364870/detay
2018,30000,Füme,579900,Ýstanbul Ataþehir,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-caretta-dan-2018-otomatik-30bin-km-de-1.0-tsi-115-ps-golf-1053360081/detay
2018,29500,Lacivert,619500,Ýstanbul Ataþehir,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2018-golf-otomatik-29.000-km-18-kdv-105.000tl-pesinatla-1058301111/detay
2018,51250,Beyaz,538000,Tekirdað Çorlu,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-boyasiz-kazasiz-degisensiz-tertemiz-golf-1058206622/detay
2017,60000,Beyaz,510000,Ýstanbul Beþiktaþ,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2017-golf-7.5-sahibinden-1044840368/detay
2019,37550,Gri,517500,Ankara Pursaklar,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-eskihisar-dan-golf-1.0-tsi-midline-plus-37.500-km-de-isik-paket-1048864927/detay
2017,26000,Beyaz,595000,Ýstanbul Þiþli,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-volkwagen-golf-1.0-tsi-1058164363/detay
2017,42000,Lacivert,610000,Ýzmir Gaziemir,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2017-golf-1.0-tsi-bmt-otomatik-aninda-kredi-1039687165/detay
2019,54000,Beyaz,515000,Ankara Yenimahalle,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-memurdan-hatasiz-golf-1058173166/detay
2019,48193,Beyaz,512900,Ýzmir Bornova,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-cetas-renault-izmir-2.el-den-2019-golf-1.0-tsi-midline-plus-1058171790/detay
2018,55000,Siyah,539000,Ýstanbul Kadýköy,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-pnr-auto-2018-vw-golf-1.0tsi-dsg-dogus-bakimli-55.000km-1058087116/detay
2020,51000,Füme,529900,Ýstanbul Ataþehir,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-firsat-1.99-oran-285.000tl-pesinatla-2020-golf-1.0tsi-midline-1040938496/detay
2019,23000,Beyaz,583500,Gaziantep Þehitkamil,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-hatasiz-boyasiz-tramersiz-golf7.5-1051029075/detay
2019,32000,Beyaz,522000,Kütahya Merkez,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2019-golf-boyasiz-hatasiz-978049761/detay
2018,72000,Beyaz,605000,Ýstanbul Þiþli,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2019-cikisli-bayan-avukattan-cok-temiz-golf-7.5-dsg-1048731932/detay
2017,164000,Bordo,438000,Mardin Artuklu,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ilk-sahibinden-tertemiz-golf-7.5-1057902397/detay
2017,81000,Lacivert,519000,Ýstanbul Kadýköy,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-acil-sahibinden-golf-7.5-1.0-midline-plus-1030556817/detay
2018,30000,Gümüþ Gri,614000,Ýstanbul Ataþehir,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-2018-golf-115-hp-dsg-30.000-km-18-kdv-99.000tl-pesinat-1057853949/detay
2020,56000,Gri,505000,Kars Merkez,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ogretmenden-satilik-volkswagen-golf-1.0-midline-plus-2020-1038169449/detay
2019,45000,Beyaz,528000,Adýyaman Kahta,"https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-ilk-sahibinden-hatasiz-boyasiz-tramersiz-temiz-golf-7,5-983042784/detay"
2019,39500,Beyaz,535000,Eskiþehir Tepebaþý,https://www.sahibinden.com/ilan/vasita-otomobil-volkswagen-sahibinden-satilik-golf-1057856313/detay
